CellType_lvl1	CellType_lvl0	clusterLocation	inEarlyStages	inAdult	RNAcluster	order	colorHex
-	-	CB	FALSE	TRUE	-	1	#D0D0D0
Photoreceptors	Non-brain	CB	TRUE	TRUE	PR	2	#000000
Plasmatocytes	Non-brain	CB	FALSE	TRUE	PLM	3	#000000
Astrocyte-like	Glia	CB	TRUE	TRUE	AST	4	#4169E1
Perineurial glia	Glia	CB	FALSE	TRUE	PNG	5	#63B8FF
Subperineurial glia	Glia	CB	FALSE	TRUE	SUB	6	#87CEFA
Cortex glia	Glia	CB	FALSE	TRUE	CTX	7	#1E90FF
Ensheathing glia	Glia	CB	FALSE	TRUE	ENS	8	#00BFFF
Chiasm glia	Glia	OL	FALSE	TRUE	CSM	9	#1874CD
90	Glia	CB	FALSE	TRUE	90	10	#B0C4DE
KC-a/b	Neurons (CentralBrain - Mushroom body)	CB	FALSE	TRUE	A/B-KC	11	#FFD700
KC-a'/b'	Neurons (CentralBrain - Mushroom body)	CB	TRUE	TRUE	A/B*-KC	12	#FFC125
KC-g	Neurons (CentralBrain - Mushroom body)	CB	TRUE	TRUE	G-KC	13	#EEB422
CB-Pros_16b	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	14	#CD5B45
CB-Pros_16c	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	15	#D55E46
CB-Pros_15a	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	16	#DD6738
CB-Pros_15b	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	17	#E6702A
CB-Pros_16a	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	18	#EE791C
CB-Pros_17a	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	19	#F6820E
CB-Pros_17b	Neurons (CentralBrain - Pros)	OL	FALSE	TRUE	-	20	#FF7F00
CB-Pros_17c	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	21	#FC7107
CB-Pros_17d	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	22	#F9630E
CB-Pros_18a	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	23	#F65516
CB-Pros_18b	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	24	#F3471D
CB-Pros_18c	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	25	#F03924
CB-Pros_18d	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	26	#EE2C2C
unk_18	Neurons (CentralBrain - ES)	-	TRUE	FALSE	-	27	#EE2C2C
CB-Pros_19a	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	28	#CD2626
CB-Pros_19b	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	29	#8B1A1A
Poxn	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	Poxn	30	#CD661D
PB4/5	Neurons (CentralBrain - Pros)	CB	TRUE	TRUE	PB4/5	31	#CD3333
CB-Pros_13	Neurons (CentralBrain - Pros)	CB	FALSE	TRUE	-	32	#CD5B45
CB-Imp_12	Neurons (CentralBrain - Imp)	CB	FALSE	TRUE	-	33	#CD853F
CB-Imp_14	Neurons (CentralBrain - Imp)	CB	FALSE	TRUE	-	34	#8B3E2F
CB-Imp_10a	Neurons (CentralBrain - Imp)	CB	FALSE	TRUE	-	35	#FFDAB9
CB-Imp_10b	Neurons (CentralBrain - Imp)	CB	FALSE	TRUE	-	36	#8B3A3A
CB-Imp_10e	Neurons (CentralBrain - Imp)	CB	FALSE	TRUE	-	37	#8B3E2F
CB-Imp_10f	Neurons (CentralBrain - Imp)	CB	FALSE	TRUE	-	38	#CD853F
CB-Imp_10c	Neurons (CentralBrain - Imp)	CB	FALSE	TRUE	-	39	#8B4513
CB-Imp_10d	Neurons (CentralBrain - Imp)	CB	FALSE	TRUE	-	40	#8B5A2B
CB-Imp_10g	Neurons (CentralBrain - Imp)	CB	FALSE	TRUE	-	41	#CDBA96
Mi1	Neurons (Optic lobe)	OL	FALSE	TRUE	Mi1	42	#A2CD5A
Tm1/TmY8	Neurons (Optic lobe)	OL	FALSE	TRUE	Tm1/TmY8	43	#BCEE68
Tm3	Neurons (Optic lobe)	OL	FALSE	TRUE	Tm3	44	#CAFF70
Tm4	Neurons (Optic lobe)	OL	FALSE	TRUE	Tm4	45	#CAFF70
